,,Overall NHL Stats,,,,,,,,,Time on Ice,,,,Goals,,,,,Assists,,,,,Points,,,,,,per 60 All Situations,,,per 60 Even-Strength,,,per 60 Power-Play,,,per Game,,,Shots,,Defensive,,Faceoffs,,
Rk,Name,Team,Age,Pos,GP,G,A,P,PIM,+/-,TOI,ES,PP,SH,ESG,PPG,SHG,GWG,OTG,ESA,PPA,SHA,GWA,OTA,ESP,PPP,SHP,GWP,OTP,PPP%,G/60,A/60,P/60,ESG/60,ESA/60,ESP/60,PPG/60,PPA/60,PPP/60,G/GP,A/GP,P/GP,SHOTS,SH%,HITS,BS,FOW,FOL,FO%
89,Anthony Duclair,FLA,26,F,74,31,27,58,30,19,14:59,12:19,2:33,0:06,22,9,0,5,1,15,12,0,1,0,37,21,0,6,1,36.2%,1.676,1.46,3.136,1.446,0.986,2.433,2.861,3.815,6.675,0.419,0.365,0.784,167,18.6%,38,16,1,1,50.00%
90,Brayden Point,TBL,25,F,66,28,30,58,33,-5,19:27,15:49,3:36,0:01,18,10,0,4,2,18,12,0,5,1,36,22,0,9,3,37.9%,1.308,1.401,2.709,1.034,1.034,2.068,2.523,3.028,5.552,0.424,0.455,0.879,176,15.9%,75,27,366,351,51.05%
91,Bryan Rust,PIT,29,F,60,24,34,58,14,7,18:46,14:33,3:26,0:46,15,9,0,1,0,22,12,0,9,1,37,21,0,10,1,36.2%,1.279,1.811,3.09,1.03,1.511,2.541,2.615,3.487,6.103,0.4,0.567,0.967,180,13.3%,43,24,1,5,16.67%
92,Brayden Schenn,STL,30,F,62,24,34,58,33,21,17:46,14:53,2:23,0:29,17,7,0,3,1,24,10,0,7,0,41,17,0,10,1,29.3%,1.306,1.85,3.157,1.105,1.559,2.664,2.824,4.035,6.859,0.387,0.548,0.935,111,21.6%,119,17,286,293,49.40%
93,Tim Stützle,OTT,19,F,79,22,36,58,37,-27,18:24,15:02,3:14,0:07,14,7,1,4,1,17,19,0,6,1,31,26,1,10,2,44.8%,0.908,1.485,2.393,0.707,0.859,1.566,1.64,4.452,6.093,0.278,0.456,0.734,176,12.5%,125,52,180,293,38.05%
94,Ryan O'Reilly,STL,30,F,78,21,37,58,12,11,19:04,14:37,2:35,1:51,12,9,0,0,0,29,7,1,1,0,41,16,1,1,0,27.6%,0.847,1.492,2.338,0.631,1.525,2.156,2.671,2.077,4.748,0.269,0.474,0.744,168,12.5%,20,38,900,685,56.78%
95,Oliver Bjorkstrand,CBJ,26,F,80,28,29,57,16,-35,17:56,14:46,3:06,0:03,19,9,0,1,0,19,10,0,6,1,38,19,0,7,1,33.3%,1.17,1.212,2.382,0.965,0.965,1.93,2.168,2.409,4.576,0.35,0.363,0.713,215,13.0%,85,31,10,13,43.48%
96,David Perron,STL,33,F,67,27,30,57,48,8,16:59,14:17,2:41,0:00,16,11,0,2,0,15,15,0,2,0,31,26,0,4,0,45.6%,1.423,1.582,3.005,1.002,0.94,1.942,3.665,4.998,8.663,0.403,0.448,0.851,177,15.3%,80,11,1,3,25.00%
97,Lucas Raymond,DET,19,F,82,23,34,57,16,-32,18:09,15:20,2:47,0:01,18,5,0,2,2,21,13,0,5,2,39,18,0,7,4,31.6%,0.927,1.37,2.297,0.859,1.002,1.86,1.308,3.401,4.709,0.28,0.415,0.695,184,12.5%,62,24,12,19,38.71%
98,Aaron Ekblad,FLA,25,D,61,15,42,57,26,38,24:54,18:36,3:30,2:47,12,3,0,2,2,22,17,3,9,0,34,20,3,11,2,35.1%,0.592,1.658,2.25,0.634,1.163,1.797,0.84,4.76,5.6,0.246,0.689,0.934,180,8.3%,62,69,0,0,0.00%
99,Devon Toews,COL,27,D,66,13,44,57,20,52,25:22,20:52,1:42,2:47,11,2,0,3,1,34,10,0,9,1,45,12,0,12,2,21.1%,0.466,1.577,2.043,0.479,1.481,1.96,1.061,5.305,6.366,0.197,0.667,0.864,158,8.2%,54,85,0,0,0.00%
100,Jack Hughes,NJD,20,F,49,26,30,56,0,-16,19:33,16:36,2:52,0:04,20,6,0,2,2,22,8,0,4,2,42,14,0,6,4,25.0%,1.627,1.878,3.505,1.474,1.621,3.095,2.553,3.403,5.956,0.531,0.612,1.143,165,15.8%,6,15,122,231,34.56%
101,Patrik Laine,CBJ,23,F,56,26,30,56,24,-7,18:49,15:24,3:24,0:00,21,5,0,7,3,21,9,0,3,0,42,14,0,10,3,25.0%,1.48,1.707,3.187,1.461,1.461,2.922,1.57,2.826,4.396,0.464,0.536,1,167,15.6%,34,13,14,24,36.84%
102,Logan Couture,SJS,32,F,77,23,33,56,18,-11,18:55,14:33,2:28,1:54,16,5,2,3,1,20,12,1,6,1,36,17,3,9,2,30.4%,0.947,1.358,2.305,0.857,1.071,1.927,1.575,3.781,5.356,0.299,0.429,0.727,199,11.6%,92,58,621,654,48.71%
103,Charlie McAvoy,BOS,24,D,78,10,46,56,66,31,24:39,19:23,3:06,2:09,5,4,1,5,1,29,17,0,8,3,34,21,1,13,4,37.5%,0.312,1.435,1.747,0.198,1.15,1.349,0.988,4.201,5.189,0.128,0.59,0.718,166,6.0%,155,129,0,0,0.00%
104,Joshua Norris,OTT,22,F,66,35,20,55,16,-7,18:34,14:46,3:13,0:34,19,16,0,8,1,13,7,0,1,0,32,23,0,9,1,41.8%,1.713,0.979,2.691,1.169,0.8,1.969,4.5,1.969,6.468,0.53,0.303,0.833,172,20.4%,79,44,529,507,51.06%
105,Andrew Mangiapane,CGY,25,F,82,35,20,55,38,20,15:43,12:38,1:47,1:17,25,8,2,8,0,16,3,1,5,0,41,11,3,13,0,20.0%,1.628,0.931,2.559,1.448,0.926,2.374,3.256,1.221,4.477,0.427,0.244,0.671,185,18.9%,73,32,21,34,38.18%
106,Nikolaj Ehlers,WPG,25,F,62,28,27,55,20,18,18:04,15:49,2:14,0:00,24,4,0,2,1,22,5,0,4,2,46,9,0,6,3,16.4%,1.5,1.446,2.946,1.468,1.346,2.814,1.732,2.165,3.897,0.452,0.435,0.887,245,11.4%,32,27,2,1,66.67%
107,Carter Verhaeghe,FLA,26,F,78,24,31,55,48,24,16:03,14:39,1:05,0:18,24,0,0,4,1,28,3,0,6,0,52,3,0,10,1,5.5%,1.15,1.485,2.635,1.26,1.47,2.73,0,2.105,2.105,0.308,0.397,0.705,167,14.4%,50,16,19,10,65.52%
108,Adrian Kempe,LAK,25,F,78,35,19,54,46,-2,18:35,14:09,2:56,1:28,26,6,3,7,2,9,10,0,4,0,35,16,3,11,2,29.6%,1.449,0.786,2.235,1.412,0.489,1.901,1.565,2.608,4.173,0.449,0.244,0.692,247,14.2%,111,28,25,25,50.00%
109,Zach Hyman,EDM,29,F,76,27,27,54,36,-9,19:27,15:17,2:24,1:46,21,5,1,4,1,19,5,3,2,0,40,10,4,6,1,18.5%,1.095,1.095,2.19,1.084,0.981,2.065,1.645,1.645,3.289,0.355,0.355,0.711,213,12.7%,74,31,41,44,48.24%
110,Ryan Strome,NYR,28,F,74,21,33,54,69,15,18:19,15:00,2:47,0:32,15,5,1,5,0,24,9,0,6,0,39,14,1,11,0,25.9%,0.929,1.46,2.389,0.811,1.297,2.108,1.455,2.62,4.075,0.284,0.446,0.73,161,13.0%,41,19,362,456,44.25%
111,Brent Burns,SJS,36,D,82,10,44,54,42,-15,26:08,20:46,2:39,2:42,6,4,0,0,0,29,14,1,6,4,35,18,1,6,4,33.3%,0.28,1.232,1.512,0.211,1.022,1.233,1.102,3.858,4.961,0.122,0.537,0.659,203,4.9%,55,150,0,1,0.00%
112,Andrew Copp,NYR,27,F,72,21,32,53,16,15,19:10,14:39,2:13,2:17,16,3,2,5,1,24,7,1,3,1,40,10,3,8,2,18.9%,0.913,1.391,2.303,0.909,1.364,2.274,1.121,2.616,3.737,0.292,0.444,0.736,183,11.5%,45,41,377,332,53.17%
113,Gustav Nyquist,CBJ,32,F,82,18,35,53,26,-12,17:50,14:14,1:50,1:46,10,4,4,0,0,29,6,0,5,1,39,10,4,5,1,18.9%,0.738,1.435,2.173,0.514,1.49,2.004,1.596,2.394,3.99,0.22,0.427,0.646,122,14.8%,41,51,14,16,46.67%
114,Rasmus Dahlin,BUF,21,D,80,13,40,53,68,-22,24:00,20:02,3:04,0:54,10,3,0,3,1,21,18,1,6,1,31,21,1,9,2,39.6%,0.406,1.249,1.655,0.374,0.786,1.16,0.73,4.381,5.111,0.163,0.5,0.663,170,7.7%,121,91,0,0,0.00%
115,Bo Horvat,VAN,26,F,70,31,21,52,40,3,19:30,15:04,3:14,1:10,17,13,1,4,0,15,6,0,7,1,32,19,1,11,1,36.5%,1.362,0.923,2.285,0.966,0.853,1.819,3.429,1.583,5.012,0.443,0.3,0.743,194,16.0%,96,45,841,634,57.02%
116,Valeri Nichushkin,COL,26,F,62,25,27,52,14,21,19:01,14:56,2:19,1:44,18,5,2,5,0,23,4,0,4,1,41,9,2,9,1,17.3%,1.272,1.373,2.645,1.165,1.489,2.655,2.076,1.661,3.737,0.403,0.435,0.839,180,13.9%,89,27,0,5,0.00%
117,Tom Wilson,WSH,27,F,78,24,28,52,98,13,18:34,14:27,2:31,1:36,18,4,2,5,1,21,6,1,7,2,39,10,3,12,3,19.2%,0.994,1.159,2.153,0.958,1.118,2.076,1.217,1.826,3.043,0.308,0.359,0.667,151,15.9%,240,55,22,30,42.31%
118,Conor Garland,VAN,25,F,77,19,33,52,36,18,16:24,14:46,1:35,0:02,18,1,0,3,0,31,2,0,8,1,49,3,0,11,1,5.8%,0.902,1.567,2.47,0.95,1.635,2.585,0.488,0.975,1.463,0.247,0.429,0.675,203,9.4%,52,22,5,5,50.00%
119,Travis Konecny,PHI,24,F,79,16,36,52,77,-23,17:36,14:42,2:43,0:10,13,3,0,3,0,29,7,0,4,0,42,10,0,7,0,19.2%,0.69,1.552,2.242,0.671,1.497,2.168,0.834,1.946,2.78,0.203,0.456,0.658,220,7.3%,80,34,13,18,41.94%
120,Shea Theodore,VGK,26,D,78,14,38,52,24,6,23:08,20:21,2:27,0:18,13,1,0,5,3,27,11,0,4,0,40,12,0,9,3,23.1%,0.465,1.263,1.729,0.491,1.02,1.511,0.312,3.432,3.744,0.179,0.487,0.667,205,6.8%,37,97,0,0,0.00%
121,Phil Kessel,ARI,34,F,82,8,44,52,40,-24,16:40,13:55,2:43,0:01,6,2,0,0,0,32,12,0,5,2,38,14,0,5,2,26.9%,0.351,1.93,2.281,0.315,1.681,1.997,0.537,3.221,3.758,0.098,0.537,0.634,175,4.6%,6,21,4,8,33.33%
122,Phillip Danault,LAK,28,F,79,27,24,51,38,14,18:07,14:22,2:02,1:42,25,2,0,5,0,19,2,3,4,2,44,4,3,9,2,7.8%,1.131,1.006,2.137,1.321,1.004,2.325,0.742,0.742,1.483,0.342,0.304,0.646,194,13.9%,74,49,676,586,53.57%
123,Vincent Trocheck,CAR,28,F,81,21,30,51,78,21,17:52,13:13,2:52,1:46,15,6,0,3,0,24,6,0,7,1,39,12,0,10,1,23.5%,0.87,1.243,2.114,0.84,1.344,2.184,1.545,1.545,3.089,0.259,0.37,0.63,168,12.5%,185,46,680,565,54.62%
124,Shayne Gostisbehere,ARI,28,D,82,14,37,51,26,-23,22:11,18:29,2:50,0:51,12,2,0,2,1,20,17,0,3,0,32,19,0,5,1,37.3%,0.462,1.22,1.682,0.475,0.791,1.266,0.514,4.369,4.883,0.171,0.451,0.622,151,9.3%,60,115,0,0,0.00%
125,Noah Dobson,NYI,21,D,80,13,38,51,18,-3,21:27,18:09,2:37,0:40,10,3,0,4,1,19,19,0,5,0,29,22,0,9,1,43.1%,0.454,1.328,1.782,0.413,0.784,1.197,0.859,5.443,6.303,0.163,0.475,0.638,190,6.8%,78,154,0,0,0.00%
126,Alexander Kerfoot,TOR,27,F,82,13,38,51,20,19,15:12,13:22,0:06,1:43,13,0,0,1,0,34,1,3,7,0,47,1,3,8,0,2.0%,0.625,1.828,2.453,0.711,1.86,2.571,0,6.545,6.545,0.159,0.463,0.622,117,11.1%,75,65,76,102,42.70%
127,Anthony DeAngelo,CAR,26,D,64,10,41,51,56,30,19:48,16:37,3:02,0:08,8,2,0,2,0,23,18,0,7,2,31,20,0,9,2,39.2%,0.473,1.941,2.414,0.451,1.297,1.749,0.616,5.54,6.155,0.156,0.641,0.797,151,6.6%,41,59,0,0,0.00%
128,Seth Jones,CHI,27,D,78,5,46,51,28,-37,26:12,20:56,3:23,1:52,5,0,0,0,0,26,19,1,6,3,31,19,1,6,3,37.3%,0.147,1.35,1.497,0.184,0.955,1.139,0,4.306,4.306,0.064,0.59,0.654,194,2.6%,99,155,0,0,0.00%
129,Jared McCann,SEA,25,F,74,27,23,50,33,-26,16:08,13:19,2:36,0:12,18,8,1,1,0,14,9,0,3,0,32,17,1,4,0,34.0%,1.357,1.156,2.513,1.096,0.852,1.948,2.49,2.802,5.292,0.365,0.311,0.676,199,13.6%,65,29,224,268,45.53%
130,Cam Atkinson,PHI,32,F,73,23,27,50,10,-2,18:14,13:48,2:40,1:45,18,2,3,6,1,24,3,0,2,2,42,5,3,8,3,10.0%,1.036,1.216,2.252,1.072,1.429,2.501,0.614,0.92,1.534,0.315,0.37,0.685,215,10.7%,20,45,5,12,29.41%
131,Ryan Nugent-Hopkins,EDM,28,F,63,11,39,50,16,3,19:19,13:50,3:28,2:00,7,1,3,1,0,15,22,2,6,1,22,23,5,7,1,46.0%,0.542,1.923,2.465,0.482,1.033,1.514,0.274,6.038,6.313,0.175,0.619,0.794,154,7.1%,42,34,178,259,40.73%
132,Moritz Seider,DET,20,D,82,7,43,50,34,-9,23:02,18:15,2:53,1:53,5,2,0,4,2,22,19,2,6,2,27,21,2,10,4,42.0%,0.222,1.366,1.588,0.2,0.881,1.082,0.506,4.81,5.316,0.085,0.524,0.61,187,3.7%,151,161,0,0,0.00%
133,Rasmus Andersson,CGY,25,D,82,4,46,50,28,30,22:40,17:56,2:49,1:53,2,2,0,1,0,28,17,1,7,1,30,19,1,8,1,38.0%,0.129,1.484,1.613,0.082,1.141,1.223,0.518,4.405,4.923,0.049,0.561,0.61,152,2.6%,63,125,0,0,0.00%
134,Sam Bennett,FLA,25,F,71,28,21,49,74,27,16:57,13:58,2:12,0:46,23,5,0,7,1,16,4,1,9,2,39,9,1,16,3,18.4%,1.396,1.047,2.443,1.391,0.967,2.358,1.92,1.536,3.455,0.394,0.296,0.69,241,11.6%,119,27,411,466,46.86%
135,Joel Eriksson Ek,MIN,24,F,77,26,23,49,28,16,18:34,13:27,2:58,2:08,14,12,0,3,2,18,5,0,5,2,32,17,0,8,4,34.7%,1.091,0.965,2.055,0.811,1.042,1.853,3.143,1.31,4.453,0.338,0.299,0.636,223,11.7%,138,44,697,768,47.58%
136,Brandon Saad,STL,29,F,78,24,25,49,10,11,16:16,13:37,1:39,0:59,15,8,1,1,0,18,5,2,1,0,33,13,3,2,0,26.5%,1.135,1.182,2.317,0.846,1.016,1.862,3.716,2.323,6.039,0.308,0.321,0.628,158,15.2%,20,20,8,11,42.11%
137,Tyler Seguin,DAL,29,F,81,24,25,49,30,-21,17:49,15:08,2:30,0:10,21,3,0,2,1,15,10,0,5,1,36,13,0,7,2,26.5%,0.998,1.039,2.037,1.028,0.734,1.762,0.885,2.949,3.834,0.296,0.309,0.605,218,11.0%,96,33,464,364,56.04%
138,Viktor Arvidsson,LAK,28,F,66,20,29,49,22,1,16:58,14:20,2:37,0:01,16,4,0,3,1,25,4,0,3,0,41,8,0,6,1,16.3%,1.071,1.553,2.623,1.014,1.585,2.599,1.387,1.387,2.774,0.303,0.439,0.742,227,8.8%,23,45,12,21,36.36%
139,Victor Olofsson,BUF,26,F,72,20,29,49,6,-16,15:22,13:06,2:13,0:00,13,7,0,6,0,23,5,1,3,1,36,12,1,9,1,24.5%,1.084,1.571,2.655,0.827,1.463,2.29,2.623,1.873,4.496,0.278,0.403,0.681,164,12.2%,10,15,0,1,0.00%
140,Tyler Toffoli,CGY,29,F,74,20,29,49,14,-5,16:18,12:46,2:26,1:05,10,8,2,1,0,20,8,1,2,0,30,16,3,3,0,32.7%,0.995,1.442,2.437,0.635,1.269,1.904,2.662,2.662,5.325,0.27,0.392,0.662,195,10.3%,81,24,18,16,52.94%
141,Ondrej Palat,TBL,30,F,77,18,31,49,20,15,16:29,14:04,2:06,0:18,17,1,0,5,2,25,5,1,7,1,42,6,1,12,3,12.2%,0.851,1.465,2.315,0.941,1.384,2.325,0.371,1.853,2.224,0.234,0.403,0.636,143,12.6%,124,42,2,16,11.11%
142,Dylan Strome,CHI,24,F,69,22,26,48,28,-6,17:26,14:42,2:42,0:01,17,5,0,2,0,15,11,0,2,0,32,16,0,4,0,33.3%,1.097,1.296,2.393,1.005,0.887,1.892,1.608,3.537,5.145,0.319,0.377,0.696,126,17.5%,11,33,460,420,52.27%
143,Yanni Gourde,SEA,30,F,74,21,27,48,45,-13,18:28,14:57,1:57,1:34,17,3,1,3,0,20,4,3,2,0,37,7,4,5,0,14.6%,0.921,1.185,2.106,0.922,1.084,2.006,1.243,1.658,2.901,0.284,0.365,0.649,127,16.5%,77,31,444,453,49.50%
144,Trevor Moore,LAK,26,F,81,17,31,48,20,20,15:41,13:25,1:02,1:13,11,1,5,1,0,29,1,1,6,0,40,2,6,7,0,4.2%,0.803,1.464,2.266,0.607,1.6,2.207,0.715,0.715,1.43,0.21,0.383,0.593,202,8.4%,69,32,28,39,41.79%
145,Zachary Werenski,CBJ,24,D,68,11,37,48,22,-15,25:39,20:53,3:13,1:33,7,4,0,2,0,26,10,1,7,5,33,14,1,9,5,29.2%,0.378,1.272,1.65,0.296,1.098,1.394,1.096,2.741,3.837,0.162,0.544,0.706,216,5.1%,33,95,0,0,0.00%
146,Noah Hanifin,CGY,24,D,81,10,38,48,19,27,21:18,17:35,1:50,1:53,9,1,0,1,0,25,12,1,4,0,34,13,1,5,0,27.1%,0.348,1.321,1.669,0.379,1.053,1.432,0.403,4.834,5.237,0.123,0.469,0.593,189,5.3%,63,84,0,0,0.00%
147,Mason Marchment,FLA,26,F,54,18,29,47,53,29,14:06,13:13,0:51,0:01,17,1,0,2,0,28,1,0,4,1,45,2,0,6,1,4.3%,1.417,2.284,3.701,1.429,2.353,3.782,1.288,1.288,2.576,0.333,0.537,0.87,121,14.9%,114,9,11,29,27.50%
148,Justin Faulk,STL,29,D,76,16,31,47,43,41,23:11,19:50,1:35,1:45,15,1,0,6,1,25,6,0,6,1,40,7,0,12,2,14.9%,0.545,1.055,1.6,0.597,0.994,1.591,0.498,2.99,3.488,0.211,0.408,0.618,167,9.6%,149,101,0,0,0.00%
149,John Klingberg,DAL,29,D,74,6,41,47,34,-28,22:12,19:06,2:50,0:15,5,1,0,2,2,22,19,0,5,3,27,20,0,7,5,42.6%,0.219,1.497,1.716,0.212,0.933,1.145,0.286,5.429,5.715,0.081,0.554,0.635,139,4.3%,57,77,0,0,0.00%
150,Anders Lee,NYI,31,F,76,28,18,46,34,-11,16:37,14:15,2:21,0:00,19,9,0,3,0,14,4,0,3,0,33,13,0,6,0,28.3%,1.329,0.854,2.184,1.052,0.775,1.826,3.015,1.34,4.356,0.368,0.237,0.605,159,17.6%,94,30,65,69,48.51%
151,Yegor Sharangovich,NJD,23,F,76,24,22,46,23,-14,16:30,14:15,1:13,1:01,20,2,2,3,0,21,1,0,2,1,41,3,2,5,1,6.5%,1.148,1.052,2.2,1.107,1.162,2.269,1.298,0.649,1.947,0.316,0.289,0.605,168,14.3%,30,26,89,131,40.45%
152,Brock Boeser,VAN,24,F,71,23,23,46,20,-5,18:35,15:29,3:05,0:01,12,11,0,6,1,16,6,1,1,0,28,17,1,7,1,37.0%,1.045,1.045,2.09,0.655,0.873,1.528,3.008,1.641,4.649,0.324,0.324,0.648,195,11.8%,35,26,27,26,50.94%
153,Jamie Benn,DAL,32,F,82,18,28,46,88,-13,16:44,13:58,2:02,0:44,14,3,1,2,2,20,8,0,6,3,34,11,1,8,5,23.9%,0.786,1.223,2.01,0.733,1.048,1.781,1.074,2.865,3.94,0.22,0.341,0.561,182,9.9%,143,60,492,399,55.22%
154,Damon Severson,NJD,27,D,80,11,35,46,57,-14,23:36,18:43,2:19,2:33,6,5,0,0,0,23,11,1,3,2,29,16,1,3,2,34.8%,0.35,1.112,1.462,0.24,0.921,1.162,1.608,3.537,5.145,0.138,0.438,0.575,158,7.0%,91,92,0,0,0.00%
155,Jack Roslovic,CBJ,24,F,81,22,23,45,12,2,14:16,11:58,1:31,0:46,18,4,0,4,1,20,3,0,1,0,38,7,0,5,1,15.6%,1.141,1.193,2.334,1.113,1.236,2.349,1.939,1.455,3.394,0.272,0.284,0.556,131,16.8%,60,25,372,483,43.51%
156,Paul Stastny,WPG,36,F,71,21,24,45,14,14,17:46,14:42,1:44,1:19,17,4,0,2,0,20,4,0,3,0,37,8,0,5,0,17.8%,0.998,1.141,2.138,0.976,1.149,2.125,1.945,1.945,3.889,0.296,0.338,0.634,141,14.9%,27,27,267,205,56.57%
157,Kyle Okposo,BUF,33,F,74,21,24,45,43,-15,16:46,13:35,1:46,1:24,11,8,2,1,0,18,6,0,2,0,29,14,2,3,0,31.1%,1.015,1.16,2.175,0.656,1.073,1.729,3.645,2.733,6.378,0.284,0.324,0.608,174,12.1%,59,19,92,93,49.73%
158,Jeff Carter,PIT,36,F,76,19,26,45,38,-8,17:40,14:11,2:01,1:27,15,3,1,2,1,23,3,0,5,1,38,6,1,7,2,13.3%,0.849,1.162,2.01,0.835,1.28,2.114,1.166,1.166,2.332,0.25,0.342,0.592,200,9.5%,99,50,648,489,56.99%
159,Brandon Hagel,TBL,23,F,77,25,19,44,31,-18,16:21,13:28,1:28,1:23,20,4,1,3,0,15,2,2,1,1,35,6,3,4,1,13.6%,1.191,0.905,2.096,1.156,0.867,2.023,2.111,1.055,3.166,0.325,0.247,0.571,125,20.0%,63,32,24,33,42.11%
160,Nino Niederreiter,CAR,29,F,75,24,20,44,34,29,14:50,13:21,1:28,0:00,20,4,0,5,0,19,1,0,4,0,39,5,0,9,0,11.4%,1.294,1.078,2.372,1.197,1.137,2.334,2.178,0.545,2.723,0.32,0.267,0.587,144,16.7%,119,17,19,20,48.72%
161,Boone Jenner,CBJ,28,F,59,23,21,44,22,-11,20:27,15:52,2:58,1:36,15,8,0,3,0,19,2,0,5,1,34,10,0,8,1,22.7%,1.144,1.044,2.188,0.96,1.217,2.177,2.739,0.685,3.423,0.39,0.356,0.746,160,14.4%,80,56,644,554,53.76%
162,Jordan Eberle,SEA,31,F,79,21,23,44,14,-28,17:57,15:11,2:45,0:00,17,4,0,2,0,18,5,0,2,0,35,9,0,4,0,20.5%,0.888,0.973,1.862,0.85,0.9,1.75,1.105,1.381,2.486,0.266,0.291,0.557,164,12.8%,48,40,6,14,30.00%
163,Anton Lundell,FLA,20,F,65,18,26,44,18,33,15:44,12:40,0:41,2:22,16,1,1,4,0,20,3,3,1,0,36,4,4,5,0,9.1%,1.056,1.525,2.581,1.165,1.456,2.621,1.347,4.042,5.389,0.277,0.4,0.677,125,14.4%,26,56,334,414,44.65%
164,Erik Haula,BOS,30,F,78,18,26,44,47,19,15:05,13:23,0:57,0:44,16,2,0,3,0,24,2,0,7,1,40,4,0,10,1,9.1%,0.918,1.326,2.244,0.919,1.379,2.299,1.613,1.613,3.225,0.231,0.333,0.564,141,12.8%,129,36,434,372,53.85%
165,Drake Batherson,OTT,23,F,46,17,27,44,32,4,18:55,15:38,3:16,0:01,14,3,0,3,1,16,11,0,4,0,30,14,0,7,1,31.8%,1.171,1.861,3.032,1.168,1.335,2.503,1.196,4.385,5.581,0.37,0.587,0.957,110,15.5%,89,15,18,25,41.86%
166,Charlie Coyle,BOS,29,F,82,16,28,44,32,-6,17:24,13:53,1:52,1:37,13,3,0,5,2,21,6,1,6,2,34,9,1,11,4,20.5%,0.673,1.177,1.85,0.685,1.106,1.791,1.166,2.332,3.499,0.195,0.341,0.537,131,12.2%,84,39,540,560,49.09%
167,Joshua Bailey,NYI,32,F,74,14,30,44,6,-7,16:53,14:15,1:32,1:05,12,2,0,1,0,21,9,0,7,0,33,11,0,8,0,25.0%,0.672,1.44,2.112,0.683,1.194,1.877,1.049,4.721,5.77,0.189,0.405,0.595,87,16.1%,19,26,43,67,39.09%
168,Frederick Gaudreau,MIN,28,F,76,14,30,44,8,12,16:18,12:59,1:42,1:36,13,1,0,4,1,26,2,2,4,2,39,3,2,8,3,6.8%,0.678,1.452,2.13,0.79,1.58,2.37,0.46,0.92,1.38,0.184,0.395,0.579,132,10.6%,48,43,461,461,50.00%
169,Alex Pietrangelo,VGK,31,D,80,13,31,44,42,7,24:38,19:58,2:12,2:26,9,3,1,0,0,18,10,3,4,0,27,13,4,4,0,29.5%,0.396,0.944,1.339,0.338,0.676,1.013,1.017,3.389,4.406,0.163,0.388,0.55,227,5.7%,66,164,0,0,0.00%
170,Mackenzie Weegar,FLA,27,D,80,8,36,44,81,40,23:22,19:56,0:39,2:46,6,1,1,2,0,33,2,1,3,3,39,3,2,5,3,6.8%,0.257,1.155,1.412,0.226,1.241,1.467,1.132,2.263,3.395,0.1,0.45,0.55,203,3.9%,179,156,0,0,0.00%
171,Cole Caufield,MTL,20,F,67,23,20,43,10,-24,16:40,13:48,2:51,0:00,18,5,0,3,2,12,8,0,2,0,30,13,0,5,2,30.2%,1.235,1.074,2.309,1.167,0.778,1.945,1.569,2.511,4.081,0.343,0.299,0.642,188,12.2%,18,7,5,5,50.00%
172,Evgeny Dadonov,VGK,32,F,78,20,23,43,18,4,15:48,13:25,2:22,0:00,15,5,0,4,2,20,3,0,4,1,35,8,0,8,3,18.6%,0.974,1.12,2.093,0.859,1.146,2.005,1.617,0.97,2.586,0.256,0.295,0.551,177,11.3%,65,25,1,4,20.00%
173,Conor Sheary,WSH,29,F,71,19,24,43,14,-2,15:17,13:10,1:43,0:23,17,2,0,5,0,20,4,0,1,0,37,6,0,6,0,14.0%,1.05,1.327,2.377,1.091,1.284,2.375,0.982,1.964,2.946,0.268,0.338,0.606,129,14.7%,45,44,11,16,40.74%
174,Evan Rodrigues,PIT,28,F,82,19,24,43,14,3,15:50,13:30,1:55,0:24,12,7,0,2,0,23,1,0,4,0,35,8,0,6,0,18.6%,0.878,1.109,1.987,0.65,1.246,1.897,2.664,0.381,3.045,0.232,0.293,0.524,243,7.8%,89,30,183,203,47.41%
175,Anthony Cirelli,TBL,24,F,76,17,26,43,70,15,18:18,14:47,1:25,2:06,13,3,1,4,1,21,5,0,5,2,34,8,1,9,3,18.6%,0.733,1.121,1.854,0.694,1.121,1.815,1.665,2.775,4.44,0.224,0.342,0.566,146,11.6%,75,67,441,507,46.52%
176,Evan Bouchard,EDM,22,D,81,12,31,43,28,10,19:48,16:48,1:19,1:39,10,2,0,1,0,25,5,1,5,0,35,7,1,6,0,16.3%,0.449,1.159,1.608,0.441,1.101,1.542,1.117,2.792,3.908,0.148,0.383,0.531,205,5.9%,80,112,0,0,0.00%
177,Torey Krug,STL,30,D,64,9,34,43,48,23,20:33,17:33,2:48,0:10,5,3,1,1,0,18,16,0,3,0,23,19,1,4,0,44.2%,0.411,1.551,1.962,0.267,0.961,1.228,0.999,5.327,6.326,0.141,0.531,0.672,119,7.6%,53,70,0,0,0.00%
178,Jake DeBrusk,BOS,25,F,77,25,17,42,10,6,15:01,13:06,1:18,0:37,22,3,0,8,2,16,1,0,4,2,38,4,0,12,4,9.5%,1.296,0.882,2.178,1.308,0.951,2.259,1.795,0.598,2.394,0.325,0.221,0.545,184,13.6%,62,25,10,12,45.45%
179,Marcus Foligno,MIN,30,F,74,23,19,42,112,25,16:24,12:49,1:43,1:52,18,5,0,3,1,17,2,0,3,0,35,7,0,6,1,16.7%,1.137,0.939,2.075,1.137,1.074,2.211,2.359,0.944,3.303,0.311,0.257,0.568,98,23.5%,238,42,12,8,60.00%
